Date,Open,High,Low,Close,Adj Close,Volume,percent_change
2014-01-02,183.97999572753906,184.07000732421875,182.47999572753906,182.9199981689453,152.1962432861328,119636900,-0.5761482678603433
2014-01-03,183.22999572753906,183.60000610351562,182.6300048828125,182.88999938964844,152.17132568359375,81390600,-0.18555713901570772
2014-01-06,183.49000549316406,183.55999755859375,182.0800018310547,182.36000061035156,151.73036193847656,108028200,-0.6158400179755832
2014-01-07,183.08999633789062,183.7899932861328,182.9499969482422,183.47999572753906,152.6622314453125,86144200,0.21300966598344226
2014-01-08,183.4499969482422,183.8300018310547,182.88999938964844,183.52000427246094,152.6954803466797,96582300,0.038161529235948455
2014-01-09,184.11000061035156,184.1300048828125,182.8000030517578,183.63999938964844,152.79530334472656,90683400,-0.255282830451905
2014-01-10,183.9499969482422,184.22000122070312,183.00999450683594,184.13999938964844,153.21131896972656,102026400,0.10329026613667777
2014-01-13,183.6699981689453,184.17999267578125,181.33999633789062,181.69000244140625,151.17288208007812,149892000,-1.0780180471923355
2014-01-14,182.2899932861328,183.77000427246094,181.9499969482422,183.6699981689453,152.82028198242188,105016100,0.7570381993740958
2014-01-15,184.10000610351562,184.94000244140625,183.7100067138672,184.66000366210938,153.64401245117188,98525800,0.3041811732906054
2014-01-16,184.27999877929688,184.66000366210938,183.8300018310547,184.4199981689453,153.44430541992188,72290600,0.07597101724322665
2014-01-17,184.10000610351562,184.4499969482422,183.32000732421875,183.63999938964844,152.79530334472656,107848700,-0.24986784281176788
2014-01-21,184.6999969482422,184.77000427246094,183.0500030517578,184.17999267578125,153.24461364746094,88621200,-0.2815399464281834
2014-01-22,184.49000549316406,184.57000732421875,183.91000366210938,184.3000030517578,153.344482421875,61270900,-0.1029879320011675
2014-01-23,183.3699951171875,183.39999389648438,181.82000732421875,182.7899932861328,152.08807373046875,132496900,-0.3163013832683051
2014-01-24,181.60000610351562,181.66000366210938,178.8300018310547,178.88999938964844,148.8431854248047,208677100,-1.492294395806589
2014-01-27,179.05999755859375,179.52000427246094,177.1199951171875,178.00999450683594,148.11093139648438,180843100,-0.5863973338959866
2014-01-28,178.13999938964844,179.3000030517578,178.1199951171875,179.07000732421875,148.99290466308594,110463200,0.5220657560103004
2014-01-29,177.5800018310547,178.5500030517578,176.8800048828125,177.35000610351562,147.5618133544922,216597300,-0.1295166827162638
2014-01-30,178.8300018310547,179.80999755859375,178.25999450683594,179.22999572753906,149.1260528564453,118938100,0.22367270166571912
2014-01-31,177.00999450683594,179.2899932861328,176.9199981689453,178.17999267578125,148.25241088867188,194677900,0.6609785917484611
2014-02-03,177.97000122070312,178.3699951171875,173.8300018310547,174.1699981689453,144.9159698486328,254837100,-2.1351930244948276
2014-02-04,174.9499969482422,175.83999633789062,174.11000061035156,175.38999938964844,145.93101501464844,165012400,0.2515018285690064
2014-02-05,174.77999877929688,175.55999755859375,173.7100067138672,175.1699981689453,145.7479705810547,164230500,0.223137311118138
2014-02-06,175.5800018310547,177.47999572753906,175.22000122070312,177.47999572753906,147.6699981689453,132877600,1.082124317502043
2014-02-07,178.30999755859375,179.8699951171875,177.72999572753906,179.67999267578125,149.50047302246094,170787200,0.7683220996833402
2014-02-10,179.6999969482422,180.07000732421875,179.2100067138672,180.00999450683594,149.77500915527344,92218800,0.17250838278146247
2014-02-11,180.16000366210938,182.44000244140625,180.0399932861328,181.97999572753906,151.41416931152344,117814100,1.010208719157826
2014-02-12,182.25,182.8300018310547,181.7100067138672,182.07000732421875,151.4890594482422,94717700,-0.09876141332304526
2014-02-13,180.83999633789062,183.1999969482422,180.8300018310547,183.00999450683594,152.27114868164062,100542200,1.1999547737718252
2014-02-14,182.83999633789062,184.36000061035156,182.6699981689453,184.02000427246094,153.1115264892578,96498400,0.645377356270366
2014-02-18,184.17999267578125,184.49000549316406,183.64999389648438,184.24000549316406,153.2945556640625,80460900,0.03258378747384101
2014-02-19,183.75999450683594,184.9499969482422,182.8699951171875,183.02000427246094,152.2794952392578,126524300,-0.40269387053528244
2014-02-20,183.27000427246094,184.52000427246094,182.60000610351562,184.10000610351562,153.1781005859375,104998100,0.4528847120125307
2014-02-21,184.4499969482422,184.88999938964844,183.8000030517578,183.88999938964844,153.00331115722656,118116400,-0.30360399450203773
2014-02-24,184.27999877929688,186.14999389648438,184.1999969482422,184.91000366210938,153.85198974609375,114063900,0.34187371770445146
2014-02-25,185.05999755859375,185.58999633789062,184.22999572753906,184.83999633789062,153.7937774658203,117085000,-0.11888102431940656
2014-02-26,185.11000061035156,185.60000610351562,184.3300018310547,184.85000610351562,153.8020477294922,98677200,-0.14045405757585974
2014-02-27,184.5800018310547,185.8699951171875,184.3699951171875,185.82000732421875,154.60919189453125,93880800,0.6717983968268861
2014-02-28,185.7899932861328,187.14999389648438,185.0500030517578,186.2899932861328,155.00021362304688,150842000,0.26912106037377176
2014-03-03,184.64999389648438,185.4499969482422,183.75,184.97999572753906,153.91026306152344,167748500,0.1787174882007784
2014-03-04,186.7899932861328,187.97999572753906,186.75,187.5800018310547,156.07362365722656,167545900,0.42293943643528403
2014-03-05,187.74000549316406,188.07000732421875,187.4499969482422,187.75,156.21499633789062,88376900,0.005323589295570473
2014-03-06,188.2100067138672,188.61000061035156,187.77999877929688,188.17999267578125,156.57276916503906,82516500,-0.015947100055932407
2014-03-07,188.9600067138672,188.9600067138672,187.42999267578125,188.25999450683594,156.63929748535156,114513500,-0.3704552191783333
2014-03-10,187.97000122070312,188.22999572753906,187.0800018310547,188.16000366210938,156.55613708496094,74939200,0.10108125773918601
2014-03-11,188.44000244140625,188.7100067138672,186.8000030517578,187.22999572753906,155.78233337402344,99009100,-0.6421177553547466
