Date,percent_change
2014-02-20,0.4528847120125307
2014-03-20,0.8053691275167786
2014-06-20,-0.0459094722496777
2014-08-15,-0.3817376675014589
2014-10-07,-1.034414320508022
2014-10-10,-1.1157865628899033
2014-11-25,-0.2071854532578809
2015-01-02,-0.4603218260270367
2015-01-30,-0.5584136885262614
2015-02-26,-0.0661873046617864
2015-04-02,0.398797463131642
2015-04-08,0.2071754610738408
2015-08-31,-0.222100065645681
2015-09-04,-0.134824867718923
2015-09-14,-0.4772797440831032
2015-09-25,-0.9196430804284156
2015-09-29,-0.0796776713598768
2015-10-06,-0.2622178805217797
2015-11-24,0.7119887531116568
2016-01-25,-1.2005048448182265
2016-03-07,0.6270693403049891
2016-03-29,1.1639379928430589
2016-04-05,-0.2345217822999387
2016-04-25,0.1680620919751999
2016-06-14,0.019227541410006
2016-06-16,0.2984332694043321
2016-10-18,-0.2473855329105591
2016-10-26,0.2485806306493605
2016-10-27,-0.6570992870153453
2016-11-11,0.157347433825207
2016-11-21,0.4471395426958215
2016-12-13,0.3259581624740397
2016-12-15,0.2874044419699814
2016-12-20,0.1105461007062562
2017-01-13,0.1411402682701507
2017-02-03,0.2272480539409712
2017-03-01,0.5830778947133951
2017-06-14,-0.2532039188279286
2017-06-30,-0.1981161176974872
2017-07-28,0.1054164897867877
2017-08-17,-1.2792434555728134
2017-08-29,0.7364471994164169
2017-09-07,-0.1536925714105156
2017-09-15,0.2010535184733872
2017-11-24,0.0153572626839852
2017-12-04,-0.8148334384926006
2017-12-18,0.0373017908388304
2018-01-09,0.0510257476500963
2018-01-10,0.1607726005486652
2018-01-18,-0.1216531861046968
2018-01-25,-0.3026519770753021
2018-03-08,0.2010668379057454
2018-03-19,-1.046283448063125
2018-04-13,-0.8451478010077271
2018-04-17,0.3193167905608864
2018-05-11,0.2535282304974166
2018-05-17,0.0257436653637723
2018-05-21,0.1318579314624918
2018-05-24,-0.0403121423415595
2018-05-31,-0.4446046232646106
2018-06-12,-0.0394170347430975
2018-09-24,-0.1098398188512405
2018-10-01,-0.1300792113549508
2019-01-09,0.1591876323947009
2019-01-10,1.022397181512536
2019-01-18,0.5585253254542135
2019-03-06,-0.651981860652898
2019-04-05,0.2257550243715581
2019-04-09,-0.1425009246384894
2019-04-11,-0.2146574614863877
2019-06-03,-0.2687843670542728
2019-06-27,0.0652234537086332
2019-08-02,-0.4185846386863182
2019-08-12,-0.6518085896523348
2019-08-13,1.671647223827257
2019-08-27,-0.9221569900313534
2019-10-10,0.7074653514699017
2019-11-05,-0.182059743574556
2019-11-25,0.4455362785791709
2020-02-11,-0.267727833971885
2020-04-21,-1.3334305261125274
2020-05-08,0.4637761931016581
2020-05-29,0.6149626137964359
2020-06-26,-1.9956936882859089
2020-07-20,0.8991116928383808
2020-07-23,-1.075140059576908
2020-08-07,0.3870644952132691
2020-09-04,-1.0285145778676543
2020-09-15,-0.2784890076955972
2020-09-17,0.683534835107548
2020-11-12,-0.6665153289514056
2020-12-24,0.2499493211521696
2021-01-04,-1.7372276401067543
2021-01-05,0.8774736254260418
2021-01-07,0.7976601838114028
2021-03-25,0.9637807955901871
2021-04-15,0.5148172603779241
2021-05-14,0.8155647701838951
2021-06-14,0.1955604231951141
2021-06-15,-0.220958678890627
2021-08-20,0.7109861406817128
2021-09-20,-0.1931558886265602
2021-09-22,0.4150894643421283
2021-09-24,0.5595327127226029
2021-10-18,0.7252745031983415
2021-11-10,-0.4209784594711959
2021-11-24,0.7252295628284555
2021-12-08,0.1749470418785545
2022-01-07,-0.3974817439085167
2022-01-19,-1.3926188668748023
2022-01-31,1.9649201386141573
2022-03-07,-2.8084800046389837
2022-03-11,-1.880311100808375
2022-03-25,0.339125535703016
2022-03-30,-0.3562549732601602
2022-04-19,1.6397988931540426
2022-07-14,1.150937736982755
2022-07-28,1.0400837352074532
2022-08-23,-0.1332012112130556
2022-08-29,0.1069101598037527
2022-09-06,-0.6028527682322208
2022-09-16,0.3696524329692154
2022-09-30,-1.2769472838764109
2022-11-03,-0.1238300410710226
2022-12-08,0.2783761565925349
2022-12-29,1.0036081209571022
2023-01-30,-0.5486572795563283
2023-02-27,-0.5351699694877637
2023-03-02,1.306408520550249
2023-05-11,0.0436928439003886
2023-05-17,0.6984369686390907
2023-05-23,-0.7168865279170947
2023-05-26,1.1292231702586708
2023-07-07,-0.0182425025540895
2023-08-02,-0.6883607539299503
2023-08-08,0.1495298714097591
2023-08-10,-0.5087125475528537
2023-09-25,0.7130035796662216
2023-10-24,0.2318729446304333
2023-10-27,-0.847439519287177
2023-11-07,0.2846037842104857
2023-11-10,1.0619694134049569
2023-11-22,0.0087867656552831
2023-12-06,-0.8827156806781512
2023-12-07,0.2888987576632075
2023-12-18,0.2101979301205923
2024-01-18,0.5231915819617882
2024-02-12,-0.037911773712624
2024-03-21,-0.227364376105948
2024-04-26,0.3772101588004925
